group,split,psnr_db_model_minus_parity,ssim_model_minus_parity,mse_model_minus_parity,changed_pixel_fraction_model_minus_parity,changed_channel_fraction_model_minus_parity,pair_seconds_model_minus_parity,png_bytes_model_minus_parity,carrier_bytes_differ
development-2092,development,-0.22385775011919407,-5.009047586712612e-06,0.0003204345703125,0.0002288818359375,0.00030517578125,12.533860460971482,155,True
development-8049,development,0.10678401431313489,1.4196725331983018e-06,-0.00014750162760416696,-0.0010223388671875,-0.00014750162760416696,12.515863440989051,-16,True
development-8143,development,-0.1814359422446472,-4.672905625779933e-07,0.0002543131510416661,3.0517578125e-05,0.0002390543619791661,12.384655638947152,5,True
development-12003,development,-0.2958963670330661,-1.882705433553511e-06,0.00041707356770833304,0.0004730224609375,0.00041707356770833304,12.272116149018984,-1,True
development-12074,development,-0.19144561146335093,-2.415765269936365e-06,0.00026957194010416696,0.000335693359375,0.00026957194010416696,12.220156113035046,-25,True
development-15004,development,-0.3325675126189509,-2.938852492362365e-06,0.00046793619791666696,0.00067138671875,0.00046793619791666696,12.2800368409371,41,True
heldout-2018,heldout,-0.26220030207620937,-1.9872880290261463e-06,0.00037129720052083304,0.0005645751953125,0.00037129720052083304,12.322914186981507,90,True
heldout-3063,heldout,-0.1012212500616414,-3.773473993273768e-06,0.0001373291015625,-7.62939453125e-05,0.0001373291015625,12.285061249975115,2,True
heldout-5096,heldout,-0.25778488089832763,-1.7006492353255354e-06,0.00036112467447916696,0.000335693359375,0.00036112467447916696,12.331482791050803,42,True
heldout-6046,heldout,-0.014573654008202652,-2.7436915084333435e-07,2.0345052083333044e-05,-0.0005035400390625,2.0345052083333044e-05,12.544199972006027,-10,True
heldout-8068,heldout,-0.14698946345629338,-2.507614360935939e-06,0.00020853678385416696,-7.62939453125e-05,0.00020853678385416696,12.3662959819776,79,True
heldout-10081,heldout,-0.28146722373392663,-1.9095047291139977e-06,0.00039164225260416696,0.000640869140625,0.00039164225260416696,12.57732446002774,-57,True
heldout-14085,heldout,-0.09174284580029735,-3.7019257131953864e-06,0.0001271565755208339,-0.000335693359375,0.0001271565755208339,12.285381893976592,79,True
heldout-14092,heldout,0.15699100209715766,-1.4338253269130519e-06,-0.000213623046875,-0.00115966796875,-0.000213623046875,12.430679294106085,-83,True
heldout-15011,heldout,-0.03283216255913146,-1.7695499842096396e-06,4.57763671875e-05,-0.000640869140625,3.0517578125e-05,12.390601858962327,-37,True
heldout-15062,heldout,-0.5189026993354418,-2.866491610742372e-06,0.0007171630859375,0.0015869140625,0.0007171630859375,12.576348715054337,68,True
heldout-16004,heldout,-0.03699293933249237,-2.3013998757814846e-06,5.0862630208333044e-05,-0.0004119873046875,5.0862630208333044e-05,12.317587983969133,20,True
heldout-16068,heldout,-0.10976855984648637,-1.7518624282342188e-06,0.000152587890625,-6.103515625e-05,0.000152587890625,12.60066992091015,-27,True
heldout-17067,heldout,-0.13084338023138287,-8.862408602539062e-07,0.00018310546875,-1.52587890625e-05,0.00018310546875,12.314153478946537,-100,True
heldout-20069,heldout,-0.25030993099957755,-2.7274057012860453e-06,0.0003509521484375,0.00048828125,0.0003509521484375,12.171221662021708,27,True
heldout-23050,heldout,-0.15187964583148528,-2.422104543264858e-06,0.00020853678385416696,0.0,0.00020853678385416696,12.332180655968841,7,True
heldout-28083,heldout,-0.04860858548217095,-1.9881030249857545e-06,6.612141927083304e-05,-0.0003509521484375,6.612141927083304e-05,12.29466765903635,38,True
heldout-29030,heldout,-0.06536327956295906,-4.0354773530593135e-06,9.1552734375e-05,-0.0002899169921875,9.1552734375e-05,12.312004381907173,20,True
heldout-33044,heldout,-0.09808824315535958,-7.921062995519534e-07,0.0001373291015625,-6.103515625e-05,0.0001373291015625,12.60769915295532,-14,True
heldout-35028,heldout,-0.17490732160335654,-5.181460705494523e-06,0.000244140625,1.52587890625e-05,0.000244140625,12.170150887977798,59,True
heldout-35049,heldout,-0.2541320006333194,-3.74262268554304e-06,0.0003509521484375,0.0005950927734375,0.0003509521484375,12.23606209596619,4,True
